cenario,train_size,synthetic_train,synthetic_share_train,spacy_features,accuracy,macro_f1,weighted_f1,f1_negative,f1_neutral,f1_positive,delta_macro_f1_vs_restricted,delta_accuracy_vs_restricted
1) Baseline - Augmented 25%,1929,482,0.2498703991705547,0,0.8938906752411575,0.8593757053842079,0.8904711186454294,0.821917808219178,0.9310344827586207,0.8251748251748252,-0.02142708693690898,-0.016077170418006492
2) Baseline - Restricted 25%,1447,0,0.0,0,0.909967845659164,0.8808027923211169,0.9107228834531405,0.825,0.9424083769633508,0.875,0.0,0.0
3) Restricted 25% + spaCy Reduced 12,1447,0,0.0,12,0.9131832797427653,0.8831451457247637,0.9136372945669032,0.825,0.9454545454545454,0.8789808917197452,0.0023423534036467464,0.003215434083601254
